Name,age,team,pos,PA,AB,H,2B,3B,HR,BB,SO,P/PA,BA,OBP,SLG,OPS,Year
Anthony Ferrari,27,Tigers,SS,648,593,161,36,28,8,55,125,3.310185185185185,0.2715008431703204,0.3333333333333333,0.4671163575042159,0.8004496908375491,2014
Arturo Lopez,27,Rays,SS,664,602,167,38,23,18,62,139,3.3343373493975905,0.27740863787375414,0.34487951807228917,0.5066445182724253,0.8515240363447145,2014
Asher Wojciechowski,26,Mets,RF,640,547,106,14,29,0,93,98,3.525,0.19378427787934185,0.3109375,0.32541133455210236,0.6363488345521023,2014
Atahualpa Severino,22,Phillies,1B,725,684,104,20,21,0,41,243,3.5089655172413794,0.15204678362573099,0.2,0.24269005847953215,0.44269005847953213,2014
Audry Perez,21,Braves,SS,682,585,174,29,28,19,97,104,3.5865102639296187,0.29743589743589743,0.3973607038123167,0.5401709401709401,0.9375316439832568,2014
Bartolome Fortunato,23,Padres,C,761,684,176,39,24,13,77,102,3.3679369250985545,0.2573099415204678,0.3324572930354796,0.4415204678362573,0.7739777608717369,2014
Beiker Graterol,34,Tigers,P,664,607,110,22,25,4,57,162,3.6490963855421685,0.1812191103789127,0.25150602409638556,0.31960461285008235,0.5711106369464679,2014
Ben Kozlowski,20,Orioles,RF,592,566,93,21,16,1,26,140,3.14527027027027,0.16431095406360424,0.20101351351351351,0.26325088339222613,0.4642643969057396,2014
Bernie Williams,25,Astros,2B,704,634,183,42,20,21,70,81,3.1463068181818183,0.2886435331230284,0.359375,0.5173501577287066,0.8767251577287066,2014
Bill Ortega,23,Athletics,3B,676,642,151,34,9,10,34,115,2.9822485207100593,0.235202492211838,0.27366863905325445,0.3629283489096573,0.6365969879629118,2014
Brad Glenn,22,White Sox,CF,673,637,111,37,17,0,36,218,3.5319465081723624,0.17425431711145997,0.21842496285289748,0.2857142857142857,0.5041392485671832,2014
Bradin Hagens,34,Marlins,P,666,612,134,25,24,3,54,122,3.460960960960961,0.21895424836601307,0.2822822822822823,0.35294117647058826,0.6352234587528706,2014
Brandon Bantz,25,Orioles,3B,662,631,124,25,20,13,31,141,3.096676737160121,0.196513470681458,0.23413897280966767,0.3613312202852615,0.5954701930949291,2014
Brandon Harper,23,Rangers,3B,679,588,115,22,20,1,91,142,3.5110456553755522,0.195578231292517,0.30338733431516934,0.30612244897959184,0.6095097832947611,2014
Brent Cookson,25,Reds,CF,642,597,137,29,27,2,45,145,3.2585669781931466,0.22948073701842547,0.2834890965732087,0.3785594639865997,0.6620485605598083,2014
Brent Dlugach,22,Mariners,P,643,600,134,23,21,4,43,176,3.5194401244167963,0.22333333333333333,0.27527216174183516,0.3516666666666667,0.6269388284085018,2014
Brett Bochy,25,Red Sox,SS,670,613,179,48,22,18,57,77,3.0582089552238805,0.29200652528548127,0.3522388059701492,0.5301794453507341,0.8824182513208834,2014
Brett Campbell,30,Rangers,SS,657,569,163,36,30,14,88,157,3.5616438356164384,0.28646748681898065,0.3820395738203957,0.5289982425307557,0.9110378163511514,2014
Brett Marshall,34,Rockies,P,655,598,124,28,25,5,57,155,3.6381679389312978,0.20735785953177258,0.27633587786259545,0.362876254180602,0.6392121320431974,2014
Brett Sinkbeil,24,Phillies,SS,671,589,174,42,22,10,82,162,3.5007451564828616,0.29541595925297115,0.38152011922503726,0.4923599320882852,0.8738800513133225,2014
Brian Broderick,20,Phillies,2B,704,646,170,34,23,13,58,135,3.288352272727273,0.2631578947368421,0.32386363636363635,0.4473684210526316,0.7712320574162679,2014
Brian O'Connor,32,Athletics,CF,630,572,116,28,21,2,58,130,3.3174603174603177,0.20279720279720279,0.2761904761904762,0.3356643356643357,0.6118548118548119,2014
Brian Smith,33,Athletics,LF,649,599,132,24,28,3,50,187,3.4791987673343607,0.22036727879799667,0.28043143297380585,0.36894824707846413,0.64937968005227,2014
Bruce Billings,31,Rays,1B,720,696,148,44,22,6,24,179,3.3472222222222223,0.21264367816091953,0.2388888888888889,0.3649425287356322,0.6038314176245211,2014
Bryan Eversgerd,22,Padres,CF,655,554,144,43,28,3,101,141,3.7969465648854963,0.259927797833935,0.37404580152671757,0.4548736462093863,0.8289194477361039,2014
Bubba Carpenter,20,Blue Jays,CF,611,569,101,25,19,1,42,140,3.211129296235679,0.17750439367311072,0.23404255319148937,0.29349736379613356,0.5275399169876229,2014
Carl Dale,32,Nationals,P,641,597,130,31,31,7,44,187,3.5600624024961,0.21775544388609716,0.2714508580343214,0.40871021775544386,0.6801610757897653,2014
Carlos Valderrama,20,Reds,3B,697,657,134,33,19,6,40,178,3.3055954088952655,0.2039573820395738,0.24964131994261118,0.3394216133942161,0.5890629333368274,2014
Casey Crosby,28,Giants,CF,613,540,121,30,14,5,73,134,3.504078303425775,0.22407407407407406,0.3164763458401305,0.3592592592592593,0.6757356050993898,2014
Casey Kelly,23,Cardinals,RF,630,562,100,21,21,0,68,175,3.5825396825396827,0.17793594306049823,0.26666666666666666,0.2900355871886121,0.5567022538552788,2014
Cedric Hunter,25,Red Sox,CF,626,572,133,28,26,9,54,139,3.373801916932907,0.23251748251748253,0.2987220447284345,0.4195804195804196,0.718302464308854,2014
Cesar Carrillo,27,Angels,1B,716,671,161,32,17,12,45,110,2.9706703910614527,0.2399403874813711,0.2877094972067039,0.3919523099850969,0.6796618071918008,2014
Chad Curtis,25,Astros,LF,653,606,163,30,21,14,47,123,3.188361408882083,0.26897689768976896,0.3215926493108729,0.4570957095709571,0.77868835888183,2014
Chad Hutchinson,27,Blue Jays,1B,694,647,159,31,19,8,47,127,3.1570605187319885,0.24574961360123648,0.2968299711815562,0.3894899536321484,0.6863199248137046,2014
Chad Santos,33,Orioles,P,661,638,140,31,19,11,23,136,3.0937972768532527,0.219435736677116,0.24659606656580937,0.3793103448275862,0.6259064113933955,2014
Chi Chi Gonzalez,20,Mets,SS,690,617,149,37,24,5,73,161,3.5130434782608697,0.24149108589951376,0.3217391304347826,0.4035656401944895,0.7253047706292721,2014
Chili Davis,34,Astros,SS,661,567,141,33,33,5,94,140,3.4947049924357034,0.24867724867724866,0.3555219364599092,0.4497354497354497,0.8052573861953589,2014
Chris Basak,33,Rockies,SS,630,604,132,23,15,6,26,130,3.077777777777778,0.2185430463576159,0.2507936507936508,0.3360927152317881,0.5868863660254389,2014
Chris Mabeus,33,Cubs,SS,664,598,179,49,24,7,66,118,3.480421686746988,0.2993311036789298,0.3689759036144578,0.49665551839464883,0.8656314220091066,2014
Chris McGuiness,26,Diamondbacks,3B,722,608,162,32,18,13,114,111,3.484764542936288,0.26644736842105265,0.38227146814404434,0.44243421052631576,0.8247056786703602,2014
Chris Oxspring,33,Brewers,2B,684,587,146,34,17,10,97,128,3.625730994152047,0.24872231686541738,0.35526315789473684,0.41567291311754684,0.7709360710122837,2014
Chris Reed,20,Dodgers,CF,627,590,160,41,18,16,37,124,3.106858054226475,0.2711864406779661,0.3141945773524721,0.4830508474576271,0.7972454248100992,2014
Chris Robinson,32,Cubs,RF,614,533,122,22,21,2,81,147,3.736156351791531,0.22889305816135083,0.3306188925081433,0.3602251407129456,0.6908440332210889,2014
Chris Saenz,28,Angels,CF,626,584,155,35,21,10,42,140,3.4041533546325877,0.2654109589041096,0.3146964856230032,0.4486301369863014,0.7633266226093045,2014
Chris Schwinden,27,Rays,C,734,697,189,39,25,13,37,102,3.0640326975476837,0.27116212338593976,0.3079019073569482,0.45480631276901007,0.7627082201259583,2014
Christian Parker,25,Rockies,RF,589,527,121,26,21,7,62,133,3.5432937181663835,0.22960151802656548,0.31069609507640067,0.3984819734345351,0.7091780685109358,2014
Chuck Knoblauch,30,Astros,P,678,607,154,33,35,5,71,188,3.6327433628318584,0.25370675453047775,0.33185840707964603,0.44810543657331137,0.7799638436529575,2014
Clay Timpner,27,Braves,CF,645,601,177,45,17,15,44,161,3.311627906976744,0.2945091514143095,0.3426356589147287,0.5008319467554077,0.8434676056701363,2014
Clemente Alvarez,21,Padres,3B,707,650,114,23,20,0,57,275,3.845827439886846,0.1753846153846154,0.24186704384724186,0.2723076923076923,0.5141747361549341,2014
Cody Hall,30,Cardinals,C,745,705,171,26,33,9,40,185,3.3624161073825505,0.2425531914893617,0.2832214765100671,0.41134751773049644,0.6945689942405635,2014
Colin Rea,26,Cubs,CF,635,608,143,40,13,11,27,233,3.379527559055118,0.23519736842105263,0.2677165354330709,0.3980263157894737,0.6657428512225445,2014
Corey Lee,22,Diamondbacks,RF,652,569,174,42,18,13,83,116,3.4263803680981595,0.30579964850615116,0.3941717791411043,0.5114235500878734,0.9055953292289778,2014
Cory Mazzoni,29,White Sox,LF,681,581,160,32,21,4,100,102,3.461086637298091,0.27538726333907054,0.38179148311306904,0.423407917383821,0.8051994004968901,2014
Craig House,30,Blue Jays,SS,637,531,144,20,29,13,106,113,3.6248037676609104,0.2711864406779661,0.3924646781789639,0.4915254237288136,0.8839901019077775,2014
Dan Winkler,34,Dodgers,2B,701,597,122,31,17,0,104,327,4.231098430813124,0.20435510887772193,0.3223965763195435,0.3132328308207705,0.635629407140314,2014
Daniel Fields,31,Giants,1B,706,656,174,46,18,19,50,96,3.035410764872521,0.2652439024390244,0.31728045325779036,0.4771341463414634,0.7944145995992538,2014
Danny Mota,22,Royals,2B,714,666,103,16,22,1,48,203,3.361344537815126,0.15465465465465467,0.211484593837535,0.24924924924924924,0.4607338430867842,2014
Danny Rios,23,Mets,3B,708,659,142,37,26,5,49,203,3.4124293785310735,0.21547799696509864,0.269774011299435,0.37329286798179057,0.6430668792812255,2014
Darren Clarke,24,Rangers,1B,717,645,126,37,19,0,72,232,3.834030683403068,0.19534883720930232,0.27615062761506276,0.3116279069767442,0.587778534591807,2014
Dave Davidson,27,Pirates,P,662,615,140,33,22,11,47,91,3.1555891238670695,0.22764227642276422,0.2824773413897281,0.4065040650406504,0.6889814064303785,2014
David Manning,23,Angels,RF,609,578,141,33,17,12,31,131,3.231527093596059,0.24394463667820068,0.2824302134646962,0.42214532871972316,0.7045755421844193,2014
David Moraga,31,Blue Jays,2B,675,601,96,19,14,3,74,93,3.259259259259259,0.15973377703826955,0.2518518518518518,0.2529118136439268,0.5047636654957786,2014
Dean Hartgraves,34,Nationals,RF,592,561,149,39,16,11,31,138,3.22972972972973,0.26559714795008915,0.30405405405405406,0.45098039215686275,0.7550344462109169,2014
Dennis Dove,25,Angels,3B,675,640,182,32,32,11,35,183,3.2962962962962963,0.284375,0.3214814814814815,0.4859375,0.8074189814814815,2014
Denny Harriger,30,Cardinals,P,678,628,167,32,16,14,50,94,3.134218289085546,0.2659235668789809,0.3200589970501475,0.43471337579617836,0.7547723728463258,2014
Derek Jeter,32,Astros,C,744,714,128,28,30,1,30,208,3.329301075268817,0.1792717086834734,0.21236559139784947,0.3067226890756303,0.5190882804734798,2014
Domingo Guzman,28,Reds,LF,667,638,110,31,16,1,29,200,3.428785607196402,0.1724137931034483,0.20839580209895053,0.27586206896551724,0.48425787106446777,2014
Donzell McDonald,29,Mets,1B,752,697,126,26,19,0,55,203,3.514627659574468,0.18077474892395984,0.24069148936170212,0.27259684361549497,0.5132883329771971,2014
Doug Clark,33,Rangers,LF,639,609,170,42,12,18,30,147,3.2785602503912363,0.2791461412151067,0.3129890453834116,0.47619047619047616,0.7891795215738877,2014
Drew Anderson,27,Angels,SS,656,604,208,48,21,27,52,76,3.149390243902439,0.3443708609271523,0.39634146341463417,0.6274834437086093,1.0238249071232435,2014
Drew Meyer,30,Diamondbacks,SS,705,625,117,27,31,3,80,139,3.4127659574468083,0.1872,0.2794326241134752,0.344,0.6234326241134751,2014
Dusty Wathan,27,Mets,P,698,663,153,34,26,12,35,170,3.336676217765043,0.23076923076923078,0.2693409742120344,0.41478129713423834,0.6841222713462727,2014
Eddie Kunz,32,Yankees,1B,690,660,103,25,14,1,30,284,3.579710144927536,0.15606060606060607,0.1927536231884058,0.2409090909090909,0.4336627140974967,2014
Eddie Zosky,20,Nationals,C,711,668,181,54,9,13,43,114,2.9184247538677917,0.27095808383233533,0.3150492264416315,0.437125748502994,0.7521749749446256,2014
Eduardo Villacis,30,Rockies,CF,605,576,189,37,19,20,29,77,2.8776859504132233,0.328125,0.3603305785123967,0.5625,0.9228305785123967,2014
Edwin Bellorin,32,Rays,RF,607,542,118,24,20,10,65,151,3.617792421746293,0.2177121771217712,0.3014827018121911,0.39114391143911437,0.6926266132513055,2014
Elias Diaz,29,Cubs,P,679,622,181,51,21,14,57,97,3.410898379970545,0.2909967845659164,0.35051546391752575,0.5080385852090032,0.858554049126529,2014
Elih Villanueva,23,White Sox,P,718,667,199,32,19,19,51,118,3.396935933147632,0.2983508245877061,0.34818941504178275,0.48875562218890556,0.8369450372306884,2014
Eric Cyr,21,Mets,C,769,726,218,53,25,25,43,118,3.049414824447334,0.3002754820936639,0.33940182054616386,0.5454545454545454,0.8848563660007093,2014
Eric Farris,32,Angels,P,662,633,131,26,20,6,29,133,3.2537764350453173,0.20695102685624012,0.24169184290030213,0.33965244865718797,0.5813442915574901,2014
Eric Fornataro,25,Marlins,3B,674,597,195,41,21,21,77,100,3.364985163204748,0.32663316582914576,0.4035608308605341,0.5711892797319933,0.9747501105925274,2014
Eric Hull,25,Rangers,P,676,633,136,27,21,14,43,124,3.2218934911242605,0.21484992101105846,0.26479289940828404,0.3902053712480253,0.6549982706563093,2014
Eric Hurley,21,Yankees,2B,669,640,141,29,18,14,29,120,2.976083707025411,0.2203125,0.25411061285500747,0.3875,0.6416106128550074,2014
Evan MacLane,25,Rays,3B,682,634,184,43,14,22,48,105,3.064516129032258,0.2902208201892745,0.34017595307917886,0.5063091482649842,0.846485101344163,2014
Francisco Pena,34,Twins,3B,706,635,126,23,22,0,71,117,3.3371104815864023,0.1984251968503937,0.2790368271954674,0.30393700787401573,0.5829738350694831,2014
Francisco Santos,29,Brewers,SS,662,630,165,34,17,20,32,76,2.7447129909365557,0.2619047619047619,0.297583081570997,0.4650793650793651,0.7626624466503621,2014
Frank Gracesqui,23,Padres,1B,746,679,138,26,26,3,67,237,3.6273458445040214,0.203240058910162,0.27479892761394104,0.33136966126656847,0.6061685888805095,2014
Fred Rath,31,Nationals,CF,600,567,117,20,19,6,33,165,3.256666666666667,0.20634920634920634,0.25,0.3403880070546737,0.5903880070546736,2014
Gabe Gonzalez,23,Giants,P,659,633,127,30,13,10,26,110,3.054628224582701,0.20063191153238547,0.2321699544764795,0.33649289099526064,0.5686628454717402,2014
Graham Koonce,30,Reds,2B,706,669,103,27,24,0,37,338,3.776203966005666,0.15396113602391628,0.19830028328611898,0.26606875934230195,0.46436904262842094,2014
Greg Mullins,22,Dodgers,1B,726,696,153,28,27,3,30,188,3.1928374655647382,0.21982758620689655,0.25206611570247933,0.3505747126436782,0.6026408283461575,2014
Hernan Iribarren,32,Yankees,3B,653,612,111,23,24,9,41,130,3.125574272588055,0.18137254901960784,0.2327718223583461,0.3415032679738562,0.5742750903322023,2014
Humberto Sanchez,29,Rockies,3B,646,593,139,33,16,10,53,150,3.3142414860681115,0.23440134907251264,0.29721362229102166,0.3946037099494098,0.6918173322404315,2014
Jaime Bubela,23,Mariners,3B,658,626,112,25,26,1,32,159,3.2522796352583585,0.17891373801916932,0.2188449848024316,0.30670926517571884,0.5255542499781505,2014
Jalal Leach,20,Blue Jays,P,662,642,142,21,26,10,20,133,3.0604229607250755,0.22118380062305296,0.24471299093655588,0.38161993769470404,0.6263329286312599,2014
James Pazos,34,Indians,SS,680,650,141,29,19,9,30,140,3.1573529411764705,0.2169230769230769,0.2514705882352941,0.36153846153846153,0.6130090497737557,2014
Jared Wells,23,Twins,CF,647,615,155,32,27,14,32,224,3.412673879443586,0.25203252032520324,0.2890262751159196,0.46016260162601624,0.7491888767419359,2014
Jarrett Grube,27,White Sox,RF,646,590,157,34,26,15,56,108,3.277089783281734,0.26610169491525426,0.32972136222910214,0.488135593220339,0.8178569554494411,2014
Jarrett Parker,31,White Sox,SS,699,650,202,53,24,21,49,97,3.1101573676680974,0.31076923076923074,0.3590844062947067,0.563076923076923,0.9221613293716298,2014
Jason Alfaro,29,Yankees,RF,576,520,140,34,20,12,56,61,3.1284722222222223,0.2692307692307692,0.3402777777777778,0.4807692307692308,0.8210470085470085,2014
Jason Gurka,22,Cardinals,1B,735,678,172,41,25,9,57,111,3.160544217687075,0.2536873156342183,0.3115646258503401,0.4277286135693215,0.7392932394196616,2014
Jason Jacome,30,Tigers,C,717,636,146,28,16,10,81,171,3.486750348675035,0.22955974842767296,0.31659693165969316,0.3710691823899371,0.6876661140496303,2014
Jason Jimenez,27,Orioles,C,707,670,108,25,21,0,37,236,3.4695898161244694,0.16119402985074627,0.2050919377652051,0.26119402985074625,0.4662859676159513,2014
Jason Pearson,23,White Sox,1B,741,624,163,29,28,15,117,142,3.6261808367071526,0.26121794871794873,0.37786774628879893,0.46955128205128205,0.847419028340081,2014
Jay Buente,32,Phillies,CF,636,557,158,26,33,8,79,165,3.6320754716981134,0.2836624775583483,0.37264150943396224,0.4919210053859964,0.8645625148199587,2014
Jay Sborz,33,Indians,C,753,708,116,25,24,2,45,214,3.3399734395750333,0.1638418079096045,0.21381142098273573,0.2754237288135593,0.489235149796295,2014
Jeff Baisley,27,Mariners,C,712,660,155,31,27,9,52,137,3.247191011235955,0.23484848484848486,0.2907303370786517,0.40454545454545454,0.6952757916241062,2014
Jeff Ball,22,Orioles,1B,698,661,174,32,19,14,37,152,3.194842406876791,0.2632375189107413,0.3022922636103152,0.43267776096822996,0.7349700245785451,2014
Jermaine Curtis,32,Royals,RF,630,576,157,36,21,12,54,174,3.573015873015873,0.2725694444444444,0.3349206349206349,0.4704861111111111,0.805406746031746,2014
Jesse English,31,Indians,1B,739,654,140,35,25,3,85,213,3.7307171853856564,0.21406727828746178,0.3044654939106901,0.3577981651376147,0.6622636590483049,2014
Jesus Delgado,24,Pirates,1B,679,621,110,21,27,2,58,161,3.3888070692194403,0.17713365539452497,0.24742268041237114,0.3075684380032206,0.5549911184155918,2014
Jett Bandy,22,Tigers,CF,604,546,150,30,16,10,58,103,3.2400662251655628,0.27472527472527475,0.3443708609271523,0.4432234432234432,0.7875943041505955,2014
Jim Bullinger,32,Red Sox,1B,724,678,105,24,21,1,46,193,3.3232044198895028,0.15486725663716813,0.2085635359116022,0.25663716814159293,0.46520070405319514,2014
Jim Stoops,23,Nationals,SS,638,581,143,25,26,7,57,96,3.126959247648903,0.24612736660929432,0.31347962382445144,0.41480206540447506,0.7282816892289266,2014
Jimmy Barthmaier,32,Cubs,3B,691,657,180,36,28,13,34,149,3.166425470332851,0.273972602739726,0.3096960926193922,0.4733637747336377,0.7830598673530299,2014
Joe Bisenius,32,Pirates,SS,633,564,136,30,24,4,69,151,3.5687203791469195,0.24113475177304963,0.32385466034755134,0.40070921985815605,0.7245638802057074,2014
Joe Depastino,33,Athletics,C,733,704,178,35,19,15,29,88,2.9099590723055933,0.2528409090909091,0.28240109140518416,0.42045454545454547,0.7028556368597296,2014
Joe Girardi,32,Astros,RF,619,577,105,21,27,0,42,152,3.344103392568659,0.18197573656845753,0.23747980613893377,0.3119584055459272,0.549438211684861,2014
Joe Ross,34,Marlins,1B,716,681,206,40,25,16,35,139,3.0726256983240225,0.302496328928047,0.3365921787709497,0.5051395007342144,0.8417316795051641,2014
John Gast,27,Marlins,CF,619,575,155,34,27,9,44,100,3.2164781906300486,0.26956521739130435,0.32148626817447495,0.46956521739130436,0.7910514855657793,2014
Jon Gray,29,Cardinals,2B,710,658,204,47,25,11,52,103,3.140845070422535,0.3100303951367781,0.36056338028169016,0.5075987841945289,0.868162164476219,2014
Jon Ratliff,30,Braves,2B,720,687,114,32,20,2,33,186,3.3125,0.16593886462882096,0.20416666666666666,0.2794759825327511,0.48364264919941774,2014
Jonathan Pettibone,23,Cardinals,CF,644,621,167,42,18,22,23,120,3.0031055900621118,0.2689210950080515,0.2950310559006211,0.500805152979066,0.7958362088796871,2014
Jordan De Jong,22,Brewers,1B,716,687,124,18,25,5,29,116,2.909217877094972,0.1804949053857351,0.21368715083798884,0.30131004366812225,0.5149971945061111,2014
Jordan Zimmerman,25,Nationals,1B,693,623,186,40,22,10,70,91,3.209235209235209,0.2985553772070626,0.3694083694083694,0.48154093097913325,0.8509493003875026,2014
Jorge Lopez,23,Red Sox,3B,692,647,168,39,23,15,45,81,2.9710982658959537,0.2596599690880989,0.3078034682080925,0.4605873261205564,0.768390794328649,2014
Jose De Paula,29,Indians,LF,665,591,103,27,20,0,74,183,3.738345864661654,0.17428087986463622,0.2661654135338346,0.2876480541455161,0.5538134676793507,2014
Jose Garcia,34,Pirates,LF,620,598,115,26,23,1,22,187,3.2661290322580645,0.19230769230769232,0.22096774193548388,0.3177257525083612,0.5386934944438451,2014
Jose Rodriguez,30,Royals,1B,730,685,177,40,17,11,45,133,3.213698630136986,0.2583941605839416,0.3041095890410959,0.4145985401459854,0.7187081291870814,2014
Josh Booty,30,Giants,C,713,673,174,41,27,13,40,135,3.211781206171108,0.2585438335809807,0.30014025245441794,0.4576523031203566,0.7577925555747745,2014
Josh Butler,30,Angels,C,732,655,173,41,30,6,77,139,3.371584699453552,0.2641221374045801,0.34153005464480873,0.44580152671755724,0.787331581362366,2014
Josh Labandeira,33,Tigers,3B,667,625,95,26,16,0,42,196,3.4182908545727138,0.152,0.20539730134932535,0.2448,0.45019730134932534,2014
Josh Prince,27,Yankees,P,649,621,98,30,16,1,28,174,3.403697996918336,0.15780998389694043,0.1941448382126348,0.26247987117552335,0.45662470938815813,2014
Josh Ravin,34,Cardinals,3B,704,659,146,28,20,7,45,139,3.3238636363636362,0.22154779969650987,0.2713068181818182,0.3566009104704097,0.6279077286522279,2014
Josh Rodriguez,27,Phillies,3B,681,644,172,39,23,12,37,126,3.0822320117474304,0.2670807453416149,0.3069016152716593,0.4549689440993789,0.7618705593710382,2014
Juan Melo,30,Phillies,P,690,640,141,29,17,7,50,173,3.5231884057971015,0.2203125,0.2768115942028985,0.3515625,0.6283740942028986,2014
Julio Mosquera,20,Angels,LF,650,584,135,28,30,2,66,192,3.766153846153846,0.23116438356164384,0.30923076923076925,0.3921232876712329,0.7013540569020021,2014
Junior Guerra,31,Tigers,RF,586,516,127,27,19,3,70,120,3.6092150170648463,0.24612403100775193,0.3361774744027304,0.38953488372093026,0.7257123581236606,2014
Justin Brunette,34,Blue Jays,RF,583,543,165,31,25,13,40,134,3.2778730703259007,0.30386740331491713,0.3516295025728988,0.5248618784530387,0.8764913810259375,2014
Justin Kaye,28,Red Sox,P,667,587,198,36,25,24,80,104,3.542728635682159,0.3373083475298126,0.41679160419790107,0.606473594548552,1.023265198746453,2014
Justin Marks,31,Twins,SS,686,649,136,24,22,5,37,224,3.4606413994169096,0.20955315870570107,0.2521865889212828,0.337442218798151,0.5896288077194338,2014
Kei Igawa,26,Mariners,2B,673,585,131,34,28,5,88,238,4.040118870728083,0.22393162393162394,0.32540861812778604,0.40341880341880343,0.7288274215465895,2014
Kensuke Tanaka,31,Red Sox,LF,646,611,143,35,17,5,35,83,2.9365325077399382,0.23404255319148937,0.2755417956656347,0.37152209492635024,0.647063890591985,2014
Kevin Mahar,26,Yankees,LF,618,536,152,27,39,8,82,116,3.598705501618123,0.2835820895522388,0.3786407766990291,0.5242537313432836,0.9028945080423127,2014
Kevin Mattison,23,Marlins,C,734,680,125,23,21,0,54,347,3.8760217983651226,0.18382352941176472,0.2438692098092643,0.27941176470588236,0.5232809745151467,2014
Kevin Melillo,25,Indians,2B,722,688,150,38,24,12,34,147,3.0734072022160666,0.2180232558139535,0.2548476454293629,0.3953488372093023,0.6501964826386653,2014
Kevin Ohme,34,Dodgers,P,674,638,133,32,26,5,36,121,3.2091988130563798,0.2084639498432602,0.2507418397626113,0.36363636363636365,0.6143782033989749,2014
Kevin Richardson,25,Reds,C,751,710,219,45,28,22,41,146,3.203728362183755,0.3084507042253521,0.34620505992010653,0.543661971830986,0.8898670317510925,2014
Kevin Whelan,22,Rockies,2B,667,621,149,44,20,15,46,87,3.007496251874063,0.23993558776167473,0.29235382308845576,0.4476650563607085,0.7400188794491642,2014
Kris Johnson,32,Cardinals,LF,673,626,139,34,23,1,47,120,3.1322436849925706,0.2220447284345048,0.2763744427934621,0.3546325878594249,0.631007030652887,2014
